iter	RMSE
0	6.624283212
1	6.500630111
2	6.375918697
3	6.254030853
4	6.137302769
5	6.023688036
6	5.915016375
7	5.809763014
8	5.707066522
9	5.60676355
10	5.515378117
11	5.421645504
12	5.334121252
13	5.249409675
14	5.167206458
15	5.086921711
16	5.011621024
17	4.938170136
18	4.864762019
19	4.793361464
20	4.72465764
21	4.65365212
22	4.586847597
23	4.52362087
24	4.462751517
25	4.400404411
26	4.34282788
27	4.283039239
28	4.228390959
29	4.176529797
30	4.125245356
31	4.073549059
32	4.027694107
33	3.980790387
34	3.933954644
35	3.892962081
36	3.851201715
37	3.812053122
38	3.774737172
39	3.731636153
40	3.693675483
41	3.655524915
42	3.620229944
43	3.588785368
44	3.554350975
45	3.523389187
46	3.490873087
47	3.459500994
48	3.429123069
49	3.400005711
50	3.370459641
51	3.341841299
52	3.315826119
53	3.291104971
54	3.266250294
55	3.240648368
56	3.215002167
57	3.19311902
58	3.169572125
59	3.150205072
60	3.130347304
61	3.109748549
62	3.088183415
63	3.067918521
64	3.048992382
65	3.032317426
66	3.012899209
67	2.996167508
68	2.979533958
69	2.963868058
70	2.94727784
71	2.932964461
72	2.917151515
73	2.901980362
74	2.89046589
75	2.872081544
76	2.858069534
77	2.844810294
78	2.833189397
79	2.820216013
80	2.8086659
81	2.797075963
82	2.785842984
83	2.775190882
84	2.759795391
85	2.748372359
86	2.737901679
87	2.727119037
88	2.717870556
89	2.709558786
90	2.697839053
91	2.685166264
92	2.674829192
93	2.665358088
94	2.654530747
95	2.642299733
96	2.63488507
97	2.626030282
98	2.616350065
99	2.607079645
100	2.599058526
101	2.590564936
102	2.583989924
103	2.57822172
104	2.567270514
105	2.557761307
106	2.55067278
107	2.542906952
108	2.53444546
109	2.523433459
110	2.517791417
111	2.510877483
112	2.501714549
113	2.494153206
114	2.487522148
115	2.480858121
116	2.4737627
117	2.467590114
118	2.461927286
119	2.456976481
120	2.451122174
121	2.445305791
122	2.440383373
123	2.434385516
124	2.426314631
125	2.422728325
126	2.41741087
127	2.411543259
128	2.407080664
129	2.403231723
130	2.399283089
131	2.39519927
132	2.389166895
133	2.388453728
134	2.385006585
135	2.377932809
136	2.373394888
137	2.367374433
138	2.364177597
139	2.358489419
140	2.35234287
141	2.34781139
142	2.34400095
143	2.339439437
144	2.336609788
145	2.333910826
146	2.330291804
147	2.32785203
148	2.327623227
149	2.323989191
150	2.318386606
151	2.315037274
152	2.310060373
153	2.303776165
154	2.299085988
155	2.293424168
156	2.287489488
157	2.284466144
158	2.282353839
159	2.275529291
160	2.272528785
161	2.270269619
162	2.266902856
163	2.261369521
164	2.258156604
165	2.253661921
166	2.25326388
167	2.247057977
168	2.243727081
169	2.238337706
170	2.235486771
171	2.232514244
172	2.229303546
173	2.226466523
174	2.224445059
175	2.220640274
176	2.218838026
177	2.215798712
178	2.214288643
179	2.213465324
180	2.208731733
181	2.206349168
182	2.204481849
183	2.203042047
184	2.199383494
185	2.196373672
186	2.19469605
187	2.192199741
188	2.189971766
189	2.187758552
190	2.185102164
191	2.18497816
192	2.182704798
193	2.180652604
194	2.178341947
195	2.176205618
196	2.174293394
197	2.170049291
198	2.167263696
199	2.165325457
200	2.1637049
201	2.161386832
202	2.159129089
203	2.155499576
