iter	Passed	Remaining
0	0	381
1	1	325
2	1	304
3	2	294
4	2	287
5	3	281
6	4	282
7	4	277
8	5	273
9	5	270
10	6	268
11	6	268
12	7	268
13	7	266
14	8	264
15	8	262
16	9	262
17	9	260
18	10	259
19	10	259
20	11	257
21	11	255
22	12	255
23	12	254
24	13	253
25	13	252
26	14	252
27	14	251
28	15	250
29	15	249
30	16	249
31	17	249
32	17	248
33	18	250
34	19	253
35	19	253
36	20	254
37	20	254
38	21	253
39	22	254
40	22	253
41	23	254
42	23	254
43	24	255
44	25	256
45	25	255
46	26	256
47	27	256
48	27	256
49	28	256
50	29	255
51	29	255
52	30	255
53	30	254
54	31	254
55	32	254
56	32	254
57	33	253
58	33	253
59	34	253
60	35	252
61	35	252
62	36	252
63	36	251
64	37	250
65	38	250
66	38	250
67	39	250
68	40	250
69	40	249
70	41	248
71	41	248
72	42	247
73	43	247
74	43	247
75	44	246
76	44	246
77	45	245
78	46	245
79	46	245
80	47	245
81	48	245
82	48	245
83	49	245
84	50	245
85	51	246
86	51	246
87	52	246
88	53	246
89	54	246
90	54	246
91	55	246
92	56	246
93	57	246
94	57	246
95	58	247
96	59	247
97	60	246
98	61	247
99	61	247
100	62	246
101	63	246
102	63	245
103	64	245
104	65	244
105	65	244
106	66	244
