fraction,model,target,n_train_sub_mean,n_splits_requested,n_splits_used_min,n_splits_used_max,n_splits_used_mean,n_valid_repeats,rmse_mean_of_repeats,rmse_std_of_repeats,rmse_ci_low,rmse_ci_high,r2_mean_of_repeats,r2_std_of_repeats,n_effective_bins_mean,bins_merged_ratio,notes
0.2,ert,P,463.0,5,5,5,5.0,8,2.8947091826581612,0.14170559513155567,2.7762403404161913,3.013178024900131,0.8502316126812299,0.014450206111843356,13.0,1.0,
0.2,ert,T,463.0,5,5,5,5.0,8,47.1035548326434,1.1524307131665015,46.14009864570755,48.06701101957924,0.8803674961574414,0.006281467777628234,13.0,1.0,
0.2,stacking,P,463.0,5,5,5,5.0,8,2.9341306047643516,0.15807178853216686,2.8019792824320326,3.0662819270966706,0.8458785906507249,0.01678597146835369,13.0,1.0,
0.2,stacking,T,463.0,5,5,5,5.0,8,47.81542163976817,1.2451155347502214,46.77447900287082,48.856364276665516,0.8765826175564493,0.006820973431532635,13.0,1.0,
0.4,ert,P,792.0,5,5,5,5.0,8,2.484133688778376,0.06682750894368886,2.4282644931610555,2.5400028843956965,0.8798796615733857,0.00612164252418191,34.0,1.0,
0.4,ert,T,792.0,5,5,5,5.0,8,40.55336634065287,0.7509386881843265,39.925565886469606,41.18116679483614,0.900612773965352,0.003960970110971409,34.0,1.0,
0.4,stacking,P,792.0,5,5,5,5.0,8,2.5301194716466133,0.07472023733060809,2.4676517899690875,2.592587153324139,0.875459706442193,0.006922988603745859,34.0,1.0,
0.4,stacking,T,792.0,5,5,5,5.0,8,41.44885734126243,0.8187605200674111,40.76435641668165,42.13335826584321,0.8961431578794248,0.004328029903183325,34.0,1.0,
0.6,ert,P,1139.0,5,5,5,5.0,8,2.2412634326513254,0.036402132322593705,2.210830488437704,2.2716963768649467,0.9006177968327018,0.003271697302351769,64.0,1.0,
0.6,ert,T,1139.0,5,5,5,5.0,8,35.63298305956397,0.4970140557724319,35.21746891059418,36.04849720853376,0.9192573586083248,0.0021686038310443187,64.0,1.0,
0.6,stacking,P,1139.0,5,5,5,5.0,8,2.283007488067273,0.044646577631284164,2.245682015088354,2.3203329610461916,0.8968688066938566,0.004059669832591041,64.0,1.0,
0.6,stacking,T,1139.0,5,5,5,5.0,8,36.418007778200774,0.6510710590432447,35.873698751373006,36.96231680502854,0.9156900452988805,0.002932665348532088,64.0,1.0,
0.8,ert,P,1468.0,5,5,5,5.0,8,2.0706961097771663,0.027858591923944444,2.0474057440816043,2.0939864754727284,0.9115699955913892,0.002083142886727626,74.0,1.0,
0.8,ert,T,1468.0,5,5,5,5.0,8,33.051700079291834,0.5519651320883392,32.59024568085587,33.513154477727795,0.9284116547221111,0.002264861904532891,74.0,1.0,
0.8,stacking,P,1468.0,5,5,5,5.0,8,2.1242598219801474,0.02454136857647583,2.1037427244047877,2.144776919555507,0.9068715573164831,0.001825698544051443,74.0,1.0,
0.8,stacking,T,1468.0,5,5,5,5.0,8,33.671142422933016,0.5549369408788122,33.20720353017314,34.135081315692894,0.9257165723137976,0.00241646641193698,74.0,1.0,
1.0,ert,P,1730.0,5,5,5,5.0,8,1.9686311808553616,0.022097519555377053,1.9501571921909446,1.9871051695197786,0.915396196268524,0.0016638685434099386,84.0,1.0,
1.0,ert,T,1730.0,5,5,5,5.0,8,31.373480404985727,0.3418370080353068,31.087697514480908,31.659263295490547,0.9316830088581238,0.0014522220356236151,84.0,1.0,
1.0,stacking,P,1730.0,5,5,5,5.0,8,2.021158793979718,0.03215586350130733,1.994275819339556,2.04804176861988,0.9108151949372028,0.002702449046704381,84.0,1.0,
1.0,stacking,T,1730.0,5,5,5,5.0,8,32.16132385884022,0.3041641268087489,31.907036285218872,32.41561143246157,0.9282498017280997,0.0013248509664412413,84.0,1.0,
